sz,om,yr,mo,dy,date1,time,tz,st,stf,stn,f,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,63,1955,4,6,04/06/1955,02:30:00,3,TX,48,11,3,27,1,6,0,33.63,-96.6,33.58,-96.08,30.2,67,1,1,1,181,147,0,0
1,124,1955,4,23,04/23/1955,16:00:00,3,IA,19,6,3,0,0,4,0,40.72,-94.35,40.8,-94.32,5.4,440,1,1,1,159,0,0,0
2,144,1955,4,27,04/27/1955,19:00:00,3,MN,27,2,1,0,0,2,0,43.62,-95.6,0,0,0.1,10,1,1,1,105,0,0,0
0.75,314,1955,6,3,06/03/1955,18:30:00,3,OK,40,53,1,0,0,3,0,36.27,-99.92,0,0,0.1,10,1,1,1,45,0,0,0
2,429,1955,6,23,06/23/1955,14:00:00,3,SC,45,4,0,0,0,3,0,34.5,-82.67,0,0,0.2,23,1,1,1,7,0,0,0
3,464,1955,7,6,07/06/1955,15:30:00,3,MT,30,1,1,0,0,4,0,45.88,-108.3,0,0,2,50,1,1,1,111,0,0,0
0.75,70,1956,3,18,03/18/1956,14:30:00,3,NC,37,2,2,0,0,3,0,35.87,-78.8,0,0,0.3,100,1,1,1,183,0,0,0
2,80,1956,3,27,03/27/1956,19:20:00,3,OK,40,3,2,0,0,5,0,34.75,-95.05,0,0,1,500,1,1,1,79,0,0,0
2.5,85,1956,4,2,04/02/1956,18:45:00,3,KS,20,3,3,0,0,4,0,38.53,-98.55,38.58,-98.47,5.4,10,1,1,1,53,0,0,0
1,128,1956,4,5,04/05/1956,15:15:00,3,TX,48,9,3,0,0,5,0,30.68,-96.37,30.68,-96.28,5.2,67,1,1,1,41,0,0,0
2,134,1956,4,8,04/08/1956,22:15:00,3,OK,40,15,3,4,0,6,0,36.38,-97.9,36.4,-97.77,7.3,400,1,1,1,47,0,0,0
3,155,1956,4,28,04/28/1956,14:20:00,3,OK,40,20,1,0,0,2,0,34.97,-97.93,35.22,-97.38,35.4,10,1,1,1,51,87,27,0
3.75,156,1956,4,28,04/28/1956,16:00:00,3,OK,40,21,2,0,0,0,0,34.17,-97.85,0,0,0.1,10,1,1,1,67,0,0,0
1,196,1956,5,12,05/12/1956,17:55:00,3,MI,26,15,4,22,0,5,0,42.25,-83.22,42.22,-83.08,6.8,400,1,1,1,163,0,0,0
3,197,1956,5,12,05/12/1956,20:00:00,3,NE,31,5,1,0,0,4,0,41.33,-97.6,0,0,4,10,1,1,1,143,0,0,0
4,202,1956,5,13,05/13/1956,02:00:00,3,MI,26,17,0,0,0,0,0,43.25,-86.27,0,0,0.1,10,1,1,1,121,0,0,0
1.75,345,1956,7,11,07/11/1956,15:17:00,3,KS,20,39,0,0,0,3,0,39.4,-100.98,0,0,0.1,10,1,1,1,193,0,0,0
2.5,386,1956,7,20,07/20/1956,18:30:00,3,KS,20,45,3,0,0,5,0,38.18,-95.48,37.4,-94.68,69.5,880,1,1,1,3,1,37,0
0.75,412,1956,8,8,08/08/1956,15:30:00,3,CT,9,1,0,0,0,2,0,41.7,-72.5,0,0,0.1,50,1,1,1,13,0,0,0
1.75,415,1956,8,12,08/12/1956,13:00:00,3,GA,13,12,1,0,0,3,0,33.12,-83,33.13,-82.95,3.6,800,1,1,1,141,0,0,0
1.5,70,1957,4,2,04/02/1957,16:50:00,3,OK,40,6,2,1,0,4,0,34.55,-96.92,34.72,-96.95,11.7,400,1,1,1,99,49,0,0
1.5,71,1957,4,2,04/02/1957,16:55:00,3,OK,40,7,2,2,1,5,0,34.4,-97.13,0,0,2,600,1,1,1,99,0,0,0
2.5,85,1957,4,2,04/02/1957,21:05:00,3,OK,40,15,2,0,0,4,0,34.85,-95.57,34.97,-95.42,11.7,440,1,1,1,121,0,0,0
1,148,1957,4,8,04/08/1957,16:20:00,3,VA,51,2,1,2,0,5,0,36.93,-76.28,0,0,1,10,1,1,1,710,0,0,0
2,157,1957,4,18,04/18/1957,16:20:00,3,TX,48,45,3,0,0,3,0,33.7,-96.73,0,0,1,17,1,1,1,181,0,0,0
1,372,1957,5,20,05/20/1957,17:45:00,3,KS,20,31,1,0,0,2,0,38.23,-96,0,0,0.5,100,1,1,1,111,0,0,0
1.5,393,1957,5,21,05/21/1957,15:45:00,3,MO,29,18,3,50,8,7,0,37.77,-90.92,37.88,-90.52,22.2,400,1,1,1,221,187,0,0
2,438,1957,5,24,05/24/1957,14:45:00,3,TX,48,120,3,1,0,3,0,32.32,-101.87,0,0,1.5,83,1,1,1,317,0,0,0
1.75,471,1957,5,25,05/25/1957,18:15:00,3,TX,48,124,1,0,0,2,0,31.22,-98.38,0,0,0.5,50,1,1,1,281,0,0,0
1,473,1957,5,27,05/27/1957,07:20:00,3,VA,51,3,2,0,0,3,0,37.12,-78.83,37.22,-78.72,9.3,800,1,1,1,39,0,0,0
3,536,1957,6,12,06/12/1957,00:30:00,3,OK,40,90,0,0,0,1,0,36.8,-95.93,0,0,0.1,10,1,1,1,147,0,0,0
1.75,585,1957,6,19,06/19/1957,13:47:00,3,MA,25,2,1,0,0,4,0,42.4,-71.3,0,0,1,17,1,1,1,17,0,0,0
1.75,587,1957,6,19,06/19/1957,14:00:00,3,MA,25,3,1,0,0,2,0,42.5,-71.3,0,0,0.5,100,1,1,1,17,0,0,0
1.75,588,1957,6,19,06/19/1957,14:00:00,3,MA,25,4,1,0,0,4,0,42.5,-71.7,0,0,1.8,10,1,1,1,27,0,0,0
1,590,1957,6,20,06/20/1957,18:30:00,3,ND,38,6,0,0,0,0,0,46.7,-97,0,0,0.1,10,1,1,1,17,0,0,0
1,591,1957,6,20,06/20/1957,19:00:00,3,MN,27,7,5,0,0,5,0,46.88,-96.77,46.87,-96.23,25,400,2,1,2,27,0,0,0
2,676,1957,7,5,07/05/1957,19:00:00,3,MA,25,6,2,0,0,3,0,42.53,-71.75,0,0,0.5,20,1,1,1,27,0,0,0
1,698,1957,7,19,07/19/1957,17:30:00,3,NE,31,51,1,0,0,0,0,40.78,-98.07,40.98,-98.07,13.8,10,1,1,1,81,0,0,0
1,697,1957,7,19,07/19/1957,17:30:00,3,NE,31,50,1,0,0,0,0,40.78,-98.07,40.98,-98.07,13.8,10,1,1,1,81,0,0,0
1,696,1957,7,19,07/19/1957,17:30:00,3,NE,31,49,3,0,0,4,0,40.78,-98.07,40.98,-98.07,13.8,10,1,1,1,81,0,0,0
1.75,801,1957,11,18,11/18/1957,14:45:00,3,AL,1,32,1,1,0,4,0,33.4,-87.53,33.42,-87.48,3.3,10,1,1,1,125,0,0,0
0.75,823,1957,12,18,12/18/1957,13:50:00,3,MO,29,37,2,1,1,4,0,37.68,-90.35,37.7,-90.3,2.7,33,1,1,1,187,0,0,0
1.25,829,1957,12,18,12/18/1957,15:35:00,3,IL,17,26,3,1,0,5,0,38.08,-89.55,0,0,2.5,10,1,1,1,145,0,0,0
1.25,832,1957,12,18,12/18/1957,16:00:00,3,IL,17,29,2,0,0,4,0,37.9,-89.5,37.92,-89.4,5.4,10,1,1,1,77,0,0,0
1.25,833,1957,12,18,12/18/1957,16:15:00,3,IL,17,30,3,0,0,4,0,37.83,-89.75,37.87,-89.65,5.7,10,1,1,1,157,0,0,0
1.75,19,1958,2,26,02/26/1958,17:40:00,3,MS,28,2,3,34,1,6,0,31.97,-90.1,32.73,-89.3,71,60,1,1,1,127,121,123,79
2,53,1958,4,2,04/02/1958,17:55:00,3,TX,48,10,3,14,1,5,0,33.9,-98.5,33.95,-98.23,16.4,333,1,1,1,485,77,0,0
2.75,54,1958,4,2,04/02/1958,18:40:00,3,TX,48,11,3,1,0,4,0,33.65,-97.9,33.87,-97.72,18.2,300,1,1,1,337,0,0,0
3,55,1958,4,3,04/03/1958,12:15:00,3,AR,5,1,2,0,0,5,0,35.9,-92.6,0,0,0.1,10,1,1,1,129,0,0,0
2.75,96,1958,4,21,04/21/1958,16:05:00,3,OK,40,6,0,0,0,1,0,35.02,-97.93,0,0,0.1,10,1,1,1,51,0,0,0
0.75,108,1958,4,24,04/24/1958,17:15:00,3,WA,53,1,0,0,0,1,0,46.2,-118.6,0,0,45,17,1,1,1,71,0,0,0
1,209,1958,6,6,06/06/1958,16:30:00,3,KS,20,7,1,1,0,3,0,37.62,-99.1,37.7,-99.02,7.3,10,1,1,1,97,0,0,0
2.5,212,1958,6,7,06/07/1958,06:00:00,3,KS,20,8,3,1,0,4,0,37.65,-97.27,0,0,5,1760,1,1,1,173,0,0,0
4,230,1958,6,10,06/10/1958,17:45:00,3,KS,20,9,4,5,15,6,0,37.85,-97.02,37.83,-96.85,9,300,1,1,1,15,0,0,0
1,232,1958,6,11,06/11/1958,16:40:00,3,NE,31,9,1,0,0,3,0,41.9,-103.55,41.97,-103.53,3.8,10,1,1,1,157,0,0,0
3,264,1958,6,13,06/13/1958,17:50:00,3,MO,29,11,2,0,0,5,0,38.98,-93.6,38.95,-93.53,4.1,440,1,1,1,107,0,0,0
3,281,1958,6,20,06/20/1958,01:15:00,3,TX,48,42,1,2,0,4,0,35.72,-101.42,0,0,0.3,150,1,1,1,233,0,0,0
2.75,298,1958,6,23,06/23/1958,16:15:00,3,TX,48,49,0,0,0,0,0,31.35,-101.48,0,0,0.1,17,1,1,1,383,0,0,0
1.75,318,1958,6,30,06/30/1958,19:00:00,3,NE,31,18,2,0,0,3,0,40.23,-100.3,40.23,-100.23,3,10,1,1,1,65,0,0,0
2.75,325,1958,7,2,07/02/1958,15:00:00,3,ME,23,1,1,0,0,4,0,44.67,-67.63,44.53,-67.6,8.9,27,1,1,1,27,0,0,0
2,327,1958,7,2,07/02/1958,16:00:00,3,ME,23,2,1,0,0,4,0,44.88,-68.67,44.93,-68.63,2.7,17,1,1,1,19,0,0,0
4,339,1958,7,4,07/04/1958,18:15:00,3,KS,20,30,0,0,0,0,0,39.58,-100.37,0,0,0.1,10,1,1,1,39,0,0,0
0.75,370,1958,7,11,07/11/1958,16:00:00,3,MA,25,5,2,0,0,5,0,42.5,-71.3,0,0,1.5,17,1,1,1,17,7,0,0
3,374,1958,7,12,07/12/1958,14:25:00,3,OK,40,22,0,0,0,1,0,36.73,-97.78,0,0,0.3,30,1,1,1,53,0,0,0
0.75,454,1958,8,7,08/07/1958,14:58:00,3,WI,55,14,2,4,0,4,0,43.12,-88,0,0,1,100,1,1,1,79,0,0,0
1,468,1958,8,14,08/14/1958,17:30:00,3,MA,25,9,2,0,0,5,0,42.32,-72.63,0,0,1,67,1,1,1,15,0,0,0
1.75,45,1959,3,14,03/14/1959,20:30:00,3,AR,5,2,2,7,1,5,0,34.57,-92.82,34.73,-92.78,11.9,417,1,1,1,51,125,0,0
1,53,1959,3,20,03/20/1959,13:45:00,3,OK,40,4,0,0,0,0,0,35.07,-98.75,0,0,0.1,10,1,1,1,75,0,0,0
1,62,1959,3,25,03/25/1959,16:10:00,3,OK,40,10,2,0,0,2,0,34.18,-97.13,34.22,-97.08,3.8,50,1,1,1,19,0,0,0
1.75,71,1959,3,31,03/31/1959,16:55:00,3,OK,40,13,2,0,0,3,0,36.3,-97.03,36.33,-97,2.7,10,1,1,1,103,0,0,0
2.75,73,1959,3,31,03/31/1959,18:10:00,3,OK,40,15,3,3,0,5,0,36.1,-96.5,36.12,-96.43,3.8,100,1,1,1,37,0,0,0
1.5,76,1959,3,31,03/31/1959,20:00:00,3,OK,40,17,1,0,0,3,0,35,-95.85,0,0,2,50,1,1,1,121,0,0,0
1.5,78,1959,3,31,03/31/1959,21:00:00,3,TX,48,8,4,31,6,4,0,31.85,-97.22,31.98,-97.13,10.4,1760,1,1,1,217,0,0,0
1.75,118,1959,5,3,05/03/1959,19:30:00,3,OK,40,24,1,0,0,2,0,35.9,-99.33,0,0,0.1,10,1,1,1,43,0,0,0
2,189,1959,5,9,05/09/1959,18:00:00,3,OK,40,38,3,0,0,5,0,36.4,-95.8,36.67,-95.57,23.4,50,1,1,1,131,105,0,0
2.75,195,1959,5,9,05/09/1959,18:40:00,3,OK,40,42,4,12,7,5,0,34.62,-96.58,34.68,-96.52,6.2,900,1,1,1,123,0,0,0
2.75,196,1959,5,9,05/09/1959,18:45:00,3,MO,29,9,2,0,0,5,0,36.68,-94.45,0,0,0.5,50,1,1,1,119,0,0,0
6,238,1959,5,17,05/17/1959,16:35:00,3,KS,20,25,0,0,0,4,0,37.97,-96.77,0,0,0.1,10,1,1,1,15,0,0,0
2.25,244,1959,5,18,05/18/1959,18:50:00,3,KS,20,27,3,0,0,4,0,39.82,-95.62,0,0,0.5,100,1,1,1,13,0,0,0
2.25,245,1959,5,18,05/18/1959,19:00:00,3,KS,20,28,2,0,0,3,0,39.73,-95.42,0,0,1,880,1,1,1,13,0,0,0
2.75,247,1959,5,18,05/18/1959,23:00:00,3,MO,29,11,1,0,0,3,0,39.72,-94.23,0,0,0.2,17,1,1,1,49,0,0,0
2,254,1959,5,20,05/20/1959,19:00:00,3,NE,31,12,1,0,0,4,0,41.45,-96.77,0,0,0.1,10,1,1,1,53,0,0,0
2.5,318,1959,5,29,05/29/1959,16:30:00,3,KS,20,41,1,0,0,5,0,39.37,-100.47,39.47,-100.38,7.9,10,1,1,1,179,0,0,0
2,364,1959,6,11,06/11/1959,15:45:00,3,KS,20,51,1,0,0,0,0,39.17,-94.68,0,0,0.1,10,1,1,1,209,0,0,0
2,379,1959,6,18,06/18/1959,18:00:00,3,KS,20,52,1,0,0,0,0,38.5,-96.2,0,0,0.1,10,1,1,1,111,0,0,0
1.75,394,1959,6,25,06/25/1959,17:15:00,3,MN,27,7,1,0,0,5,0,43.72,-92.92,43.78,-92.85,5.1,100,1,1,1,99,0,0,0
2.75,410,1959,7,1,07/01/1959,12:40:00,3,AL,1,8,2,3,0,4,0,32.42,-87,0,0,0.1,50,1,1,1,47,0,0,0
1.75,475,1959,8,11,08/11/1959,17:55:00,3,ND,38,6,0,0,0,0,0,47.1,-97.2,0,0,0.1,10,1,1,1,97,0,0,0
2,502,1959,8,28,08/28/1959,17:20:00,3,ND,38,8,0,0,0,0,0,46.4,-97.7,0,0,0.1,10,1,1,1,73,0,0,0
0.75,549,1959,9,27,09/27/1959,18:00:00,3,KS,20,64,2,0,0,0,0,37.05,-95.2,37.12,-95.1,7.2,440,1,1,1,99,0,0,0
0.75,550,1959,9,27,09/27/1959,18:00:00,3,KS,20,63,4,1,1,4,0,37,-95.13,37.12,-95.1,8.2,440,2,1,2,99,0,0,0
2.75,19,1960,2,9,02/09/1960,20:45:00,3,AR,5,4,3,10,0,4,0,35.35,-91.32,35.4,-91.28,3.8,100,1,1,1,147,0,0,0
1.75,60,1960,3,30,03/30/1960,19:06:00,3,SC,45,2,2,0,0,4,0,34.25,-81.45,34.27,-81.35,5.9,57,1,1,1,71,0,0,0
1,76,1960,4,14,04/14/1960,16:40:00,3,AR,5,5,1,0,0,4,0,34.48,-93.73,34.52,-93.6,7.9,600,1,1,1,97,0,0,0
1.75,80,1960,4,15,04/15/1960,18:00:00,3,KS,20,4,3,2,0,0,0,38.58,-94.65,38.7,-94.53,8.4,500,2,0,1,0,0,0,0
1.75,80,1960,4,15,04/15/1960,18:00:00,3,KS,20,4,3,2,0,5,0,38.58,-94.65,38.63,-94.62,2.3,440,2,1,2,121,0,0,0
1.75,80,1960,4,15,04/15/1960,18:00:00,3,MO,29,6,3,0,0,4,0,38.63,-94.62,38.7,-94.53,6.1,500,2,1,2,37,0,0,0
2,106,1960,4,21,04/21/1960,18:40:00,3,TX,48,9,2,0,0,4,0,30.82,-102.93,0,0,0.3,67,1,1,1,371,0,0,0
2.75,114,1960,4,26,04/26/1960,18:00:00,3,TX,48,11,2,0,0,3,0,31.13,-102.22,31.13,-102.03,10.9,200,1,1,1,461,0,0,0
1,116,1960,4,27,04/27/1960,16:00:00,3,TX,48,13,1,0,0,0,0,31.72,-97.13,0,0,0.2,17,1,1,1,309,0,0,0
3,119,1960,4,28,04/28/1960,19:30:00,3,KS,20,10,3,6,0,4,0,37.7,-97.58,37.77,-97.48,7.1,440,1,1,1,173,0,0,0
1.75,125,1960,4,28,04/28/1960,20:55:00,3,OK,40,23,3,57,0,6,0,35.42,-97.55,35.53,-97.4,11.7,333,1,1,1,109,0,0,0
1.75,126,1960,4,28,04/28/1960,20:58:00,3,OK,40,24,2,0,0,5,0,35.33,-97.62,35.37,-97.48,7.8,500,1,1,1,27,0,0,0
1.75,128,1960,4,28,04/28/1960,21:05:00,3,OK,40,25,2,6,0,5,0,35.32,-97.55,35.33,-97.48,3.8,400,1,1,1,27,0,0,0
1.75,146,1960,5,4,05/04/1960,18:10:00,3,TX,48,16,2,0,0,3,0,32.08,-98.4,0,0,0.3,33,1,1,1,143,0,0,0
1.75,147,1960,5,4,05/04/1960,18:20:00,3,TX,48,17,1,0,0,3,0,32.05,-98.38,0,0,0.2,10,1,1,1,143,0,0,0
1.75,148,1960,5,4,05/04/1960,18:30:00,3,KS,20,15,0,0,0,1,0,39.43,-101.55,0,0,0.5,10,1,1,1,181,0,0,0
1.5,168,1960,5,5,05/05/1960,14:45:00,3,OK,40,43,3,0,0,4,0,34.77,-97.5,34.83,-97.4,7.3,200,1,1,1,49,0,0,0
2.75,173,1960,5,5,05/05/1960,18:07:00,3,OK,40,46,2,0,0,4,0,34.92,-95.78,34.95,-95.73,4.1,500,1,1,1,121,0,0,0
2,179,1960,5,5,05/05/1960,19:10:00,3,OK,40,51,4,106,16,6,0,34.88,-95.3,35.45,-94.82,62.4,200,1,1,1,77,61,135,0
2.75,233,1960,5,17,05/17/1960,16:00:00,3,CO,8,2,1,0,0,2,0,39.4,-104.48,0,0,0.1,10,1,1,1,39,0,0,0
2,242,1960,5,18,05/18/1960,15:15:00,3,OK,40,63,1,0,0,3,0,34.77,-97.27,0,0,0.5,50,1,1,1,49,0,0,0
3.5,246,1960,5,18,05/18/1960,17:16:00,3,KS,20,21,1,0,0,4,0,39.2,-99.83,39.3,-99.83,6.9,100,1,1,1,65,0,0,0
1.75,257,1960,5,19,05/19/1960,16:00:00,3,OK,40,68,0,0,0,0,0,34.9,-98.25,0,0,0.1,10,1,1,1,15,0,0,0
1.75,258,1960,5,19,05/19/1960,16:00:00,3,OK,40,69,1,0,0,3,0,34.9,-98.25,0,0,0.1,10,1,1,1,15,51,0,0
1.5,262,1960,5,19,05/19/1960,17:30:00,3,KS,20,22,4,12,0,7,0,39.15,-96.33,39.18,-95.95,20.6,10,1,1,1,197,177,0,0
4,264,1960,5,19,05/19/1960,17:47:00,3,KS,20,23,4,92,1,6,0,39.18,-95.95,39.23,-95.43,27.5,880,1,1,1,177,87,0,0
2.75,325,1960,5,28,05/28/1960,16:00:00,3,OK,40,88,1,0,0,0,0,36.65,-98.57,0,0,0.1,10,1,1,1,151,0,0,0
0.75,331,1960,5,30,05/30/1960,18:40:00,3,OH,39,3,1,0,0,4,0,41.23,-81.83,0,0,1.5,10,1,1,1,103,0,0,0
1.5,375,1960,6,14,06/14/1960,19:45:00,3,NE,31,13,1,0,0,5,0,42.45,-97.48,0,0,1,300,1,1,1,27,0,0,0
0.75,376,1960,6,14,06/14/1960,20:30:00,3,NE,31,14,2,0,0,4,0,42.3,-97.7,0,0,1,100,1,1,1,139,0,0,0
1.25,420,1960,6,23,06/23/1960,06:00:00,3,MN,27,3,2,0,0,3,0,43.65,-94.73,0,0,2,10,1,1,1,91,0,0,0
1.5,439,1960,6,27,06/27/1960,15:00:00,3,NE,31,32,2,0,0,5,0,42.75,-103.1,0,0,0.1,10,1,1,1,45,0,0,0
3,448,1960,6,29,06/29/1960,17:00:00,3,NE,31,34,1,0,0,5,0,40,-97.95,0,0,0.2,10,1,1,1,129,0,0,0
2.75,474,1960,7,11,07/11/1960,17:25:00,3,IA,19,13,2,0,0,5,0,43.4,-95.1,0,0,1,300,1,1,1,59,0,0,0
1.75,539,1960,8,24,08/24/1960,18:00:00,3,SD,46,9,2,1,0,4,0,44.37,-101.02,44.43,-100.75,13.6,200,1,1,1,117,0,0,0
1.75,550,1960,8,28,08/28/1960,19:44:00,3,KS,20,51,1,0,0,3,0,37.78,-97.42,0,0,0.1,10,1,1,1,173,0,0,0
2.75,567,1960,9,22,09/22/1960,16:30:00,3,LA,22,9,1,0,0,4,0,32.37,-92.6,0,0,0.5,33,1,1,1,49,0,0,0
3,4,1961,2,17,02/17/1961,16:30:00,3,OK,40,1,1,0,0,2,0,34.88,-97.5,0,0,0.5,17,1,1,1,87,0,0,0
3,5,1961,2,17,02/17/1961,16:45:00,3,OK,40,2,3,7,0,4,0,35.52,-97.38,35.68,-97.17,16.8,300,1,1,1,109,0,0,0
2.5,41,1961,3,5,03/05/1961,16:45:00,3,OK,40,5,0,0,0,0,0,35.47,-96.7,0,0,0.1,10,1,1,1,81,0,0,0
2.75,89,1961,3,12,03/12/1961,18:00:00,3,AR,5,11,2,12,0,5,0,34.92,-92.62,35.15,-92.08,34.2,417,1,1,1,119,45,145,0
2,101,1961,3,13,03/13/1961,16:40:00,3,TN,47,1,3,0,0,5,0,35.6,-85.92,35.62,-85.75,9.3,250,1,1,1,177,0,0,0
2.75,118,1961,3,26,03/26/1961,16:00:00,3,TX,48,10,3,0,0,4,0,32.48,-97.37,0,0,1,50,1,1,1,251,0,0,0
2.75,119,1961,3,26,03/26/1961,16:00:00,3,TX,48,11,2,1,0,0,0,32.55,-97.37,0,0,0.3,17,1,1,1,251,0,0,0
1.75,124,1961,3,26,03/26/1961,17:00:00,3,OK,40,11,2,26,0,1,0,36.55,-96.33,37,-95.63,49.6,10,1,1,1,131,147,0,0
1.75,125,1961,3,26,03/26/1961,18:56:00,3,OK,40,12,3,1,0,4,0,35.27,-95.72,35.5,-95.47,21.4,200,1,1,1,91,0,0,0
4,137,1961,3,27,03/27/1961,17:45:00,3,LA,22,3,1,0,0,3,0,32.57,-93.8,0,0,0.5,10,1,1,1,17,0,0,0
2.75,141,1961,3,28,03/28/1961,18:10:00,3,TX,48,22,2,0,0,4,0,32.72,-95.42,32.67,-95.37,4.7,280,1,1,1,499,0,0,0
1.75,165,1961,4,8,04/08/1961,16:00:00,3,TX,48,25,2,2,0,4,0,33.95,-98.52,33.98,-98.5,3,33,1,1,1,485,0,0,0
4.5,195,1961,4,20,04/20/1961,15:30:00,3,IA,19,1,1,0,0,4,0,41.3,-94.5,41.33,-94.45,2.3,100,1,1,1,1,0,0,0
1.75,197,1961,4,20,04/20/1961,23:35:00,3,OK,40,17,0,0,0,2,0,36.85,-95.63,0,0,0.1,100,1,1,1,105,0,0,0
6,205,1961,4,23,04/23/1961,15:45:00,3,IL,17,10,3,4,0,6,0,41.35,-88.22,41.15,-87.32,51.7,10,2,0,1,0,0,0,0
6,205,1961,4,23,04/23/1961,15:45:00,3,IL,17,10,3,4,0,6,0,41.35,-88.22,41.32,-87.52,36.3,10,2,1,2,197,0,0,0
1.75,205,1961,4,23,04/23/1961,16:37:00,3,IN,18,11,3,0,0,4,0,41.32,-87.52,41.15,-87.32,15.4,10,2,1,2,89,111,0,0
2,208,1961,4,24,04/24/1961,18:40:00,3,KS,20,15,1,0,0,4,0,38.07,-94.7,38.1,-94.67,2.7,300,1,1,1,107,0,0,0
2,209,1961,4,24,04/24/1961,19:15:00,3,OK,40,20,0,0,0,0,0,36.62,-96.93,0,0,0.1,10,1,1,1,113,0,0,0
0.75,221,1961,4,29,04/29/1961,12:45:00,3,TX,48,37,2,0,0,4,0,27.8,-97.45,27.97,-97.27,16,17,1,1,1,355,409,0,0
7,228,1961,4,30,04/30/1961,18:00:00,3,OK,40,26,2,0,0,0,0,35.5,-98.17,0,0,0.5,10,1,1,1,17,0,0,0
2,229,1961,4,30,04/30/1961,18:45:00,3,OK,40,27,3,2,0,4,0,35.33,-97.95,0,0,2,77,1,1,1,51,0,0,0
3,232,1961,5,3,05/03/1961,15:00:00,3,TX,48,38,1,0,0,0,0,33.78,-100.83,33.45,-100.3,38.3,33,1,1,1,125,269,0,0
1,235,1961,5,3,05/03/1961,18:30:00,3,TX,48,41,0,0,0,0,0,34.65,-101.17,0,0,0.1,10,1,1,1,45,0,0,0
2.75,238,1961,5,4,05/04/1961,15:00:00,3,OK,40,29,2,0,0,4,0,35.6,-99.8,35.77,-99.43,23.5,200,1,1,1,129,0,0,0
1,271,1961,5,7,05/07/1961,02:00:00,3,KS,20,18,2,0,0,4,0,37.1,-95.02,37.18,-95,5.7,10,1,1,1,21,0,0,0
0.75,279,1961,5,7,05/07/1961,15:00:00,3,KS,20,20,0,0,0,0,0,39.12,-95.1,0,0,0.1,10,1,1,1,103,0,0,0
0.75,286,1961,5,7,05/07/1961,21:05:00,3,OK,40,47,3,1,0,5,0,36.8,-95.1,36.85,-94.95,8.9,400,1,1,1,35,0,0,0
2,289,1961,5,7,05/07/1961,23:30:00,3,OK,40,49,2,0,0,3,0,36.55,-97.87,0,0,0.1,10,1,1,1,47,0,0,0
1.75,290,1961,5,8,05/08/1961,00:30:00,3,OK,40,50,0,0,0,0,0,36.55,-96.7,0,0,0.1,10,1,1,1,113,0,0,0
1.25,308,1961,5,13,05/13/1961,19:20:00,3,NE,31,1,1,0,0,4,0,40.88,-98.33,0,0,0.1,10,1,1,1,79,0,0,0
1,310,1961,5,14,05/14/1961,12:45:00,3,SD,46,3,1,0,0,3,0,42.98,-97.88,0,0,0.3,60,1,1,1,9,0,0,0
2.75,314,1961,5,14,05/14/1961,16:20:00,3,AR,5,33,2,0,0,4,0,34.5,-91.6,34.55,-91.52,5.9,417,1,1,1,1,0,0,0
2.75,322,1961,5,16,05/16/1961,17:00:00,3,TX,48,49,2,0,0,5,0,30.9,-102.88,0,0,0.1,10,1,1,1,371,0,0,0
2.75,324,1961,5,16,05/16/1961,17:40:00,3,TX,48,51,0,0,0,0,0,35.38,-100.77,0,0,0.2,10,1,1,1,179,0,0,0
3,336,1961,5,21,05/21/1961,14:53:00,3,OK,40,59,0,0,0,0,0,35.6,-97.65,0,0,0.1,10,1,1,1,109,0,0,0
1,338,1961,5,21,05/21/1961,16:15:00,3,OK,40,61,2,0,0,3,0,35.88,-98.33,35.98,-98.22,9.4,100,1,1,1,11,0,0,0
2.75,343,1961,5,21,05/21/1961,17:33:00,3,OK,40,66,0,0,0,0,0,35.1,-98.3,0,0,0.1,10,1,1,1,15,0,0,0
3.5,370,1961,6,2,06/02/1961,14:30:00,3,TX,48,62,2,0,0,0,0,35.35,-100.95,0,0,0.5,23,1,1,1,179,0,0,0
2,374,1961,6,2,06/02/1961,17:00:00,3,CO,8,9,1,0,0,4,0,38.12,-102.4,0,0,0.1,10,1,1,1,99,0,0,0
2,375,1961,6,2,06/02/1961,17:00:00,3,CO,8,10,1,0,0,4,0,38.12,-102.45,0,0,0.1,10,1,1,1,99,0,0,0
1.75,376,1961,6,2,06/02/1961,17:45:00,3,KS,20,24,0,0,0,0,0,38.12,-101.87,0,0,0.1,10,1,1,1,75,0,0,0
2.5,377,1961,6,2,06/02/1961,18:25:00,3,OK,40,70,0,0,0,0,0,35.4,-99.5,0,0,0.1,10,1,1,1,9,0,0,0
3,381,1961,6,3,06/03/1961,17:30:00,3,NM,35,3,2,1,0,4,0,35.2,-103.5,35.15,-103.47,4.3,100,1,1,1,37,0,0,0
1.75,405,1961,6,6,06/06/1961,15:00:00,3,AL,1,11,1,0,0,3,0,34.9,-86.4,0,0,0.1,10,1,1,1,89,0,0,0
2.75,436,1961,6,13,06/13/1961,17:00:00,3,ME,23,2,1,0,0,4,0,44.17,-70.98,44.12,-70.88,5.4,27,1,1,1,17,0,0,0
4,454,1961,6,21,06/21/1961,14:30:00,3,SD,46,5,3,7,1,3,0,45.47,-98.23,44.52,-96.72,156.3,10,1,1,1,13,115,25,77
